season,team,conference,totalPlays,passingPlays,rushingPlays
2006,Texas A&M,SEC,757,311.0,431.00000000000006
2006,Texas Tech,Big 12,726,557.0,158.0
2006,Toledo,Mid-American,711,346.0,359.0
2006,Troy,Sun Belt,207,126.00000000000001,78.0
2006,Tulane,American Athletic,672,396.0,267.0
2006,Tulsa,American Athletic,692,316.0,366.0
2006,UAB,Conference USA,683,301.0,371.0
2006,UCF,American Athletic,738,348.0,372.0
2006,UCLA,Pac-12,807,397.0,381.0
2006,UMass,FBS Independents,63,31.0,31.0
2006,UNLV,Mountain West,586,333.0,245.99999999999997
2006,USC,Pac-12,768,412.0,339.0
2006,Utah,Pac-12,704,365.0,324.0
2006,Utah State,Mountain West,74,32.0,41.0
2006,UTEP,Conference USA,636,381.0,237.99999999999997
2006,Vanderbilt,SEC,485,237.0,242.0
2006,Virginia,ACC,532,273.0,249.0
2006,Virginia Tech,ACC,679,305.0,357.0
2006,Wake Forest,ACC,731,292.0,418.0
2006,Washington,Pac-12,536,270.0,257.0
2006,Washington State,Pac-12,475,266.0,202.0
2006,Western Kentucky,Conference USA,43,22.0,20.0
2006,Western Michigan,Mid-American,713,346.0,353.0
2006,West Virginia,Big 12,672,209.0,446.0
2006,Wisconsin,Big Ten,739,309.0,416.0
2006,Wyoming,Mountain West,616,303.0,303.0
2007,Air Force,Mountain West,759,198.0,544.0
2007,Akron,Mid-American,675,324.0,337.0
2007,Alabama,SEC,860,434.0,402.0
2007,Appalachian State,Sun Belt,66,24.0,40.0
2007,Arizona,Pac-12,692,453.0,220.0
2007,Arizona State,Pac-12,726,358.0,349.0
2007,Arkansas,SEC,748,252.0,480.0
2007,Arkansas State,Sun Belt,511,275.0,227.0
2007,Army,FBS Independents,689,360.0,321.0
2007,Auburn,SEC,815,344.0,455.0
2007,Ball State,Mid-American,794,422.0,357.0
2007,Baylor,Big 12,581,397.0,180.0
2007,Boise State,Mountain West,769,377.0,377.0
2007,Boston College,ACC,981,629.0,343.0
2007,Bowling Green,Mid-American,626,380.0,235.0
2007,Buffalo,Mid-American,273,149.0,115.0
2007,BYU,FBS Independents,806,429.0,367.0
2007,California,Pac-12,829,428.0,388.0
2007,Central Michigan,Mid-American,794,428.0,356.0
2007,Cincinnati,American Athletic,748,407.99999999999994,328.0
2007,Clemson,ACC,796,399.99999999999994,374.0
2007,Colorado,Pac-12,836,429.00000000000006,392.0
2007,Colorado State,Mountain West,500,217.0,273.0
2007,Connecticut,American Athletic,704,311.0,374.0
2007,Duke,ACC,490,268.0,220.0
2007,East Carolina,American Athletic,664,319.0,333.0
2007,Eastern Michigan,Mid-American,709,328.0,372.99999999999994
2007,Florida,SEC,647,296.0,343.0
2007,Florida Atlantic,Conference USA,575,306.0,257.0
2007,Florida International,Conference USA,444,200.0,237.0
2007,Florida State,ACC,881,452.0,401.0
2007,Fresno State,Mountain West,796,327.0,453.0
2007,Georgia,SEC,785,348.0,420.0
2007,Georgia Tech,ACC,775,342.0,412.0
2007,Hawai'i,Mountain West,732,545.0,177.0
2007,Houston,American Athletic,426,201.0,217.0
2007,Illinois,Big Ten,806,285.0,505.0
2007,Indiana,Big Ten,771,391.0,361.0
2007,Iowa,Big Ten,763,396.0,357.0
2007,Iowa State,Big 12,796,394.0,392.0
2007,Kansas,Big 12,747,398.0,333.0
2007,Kansas State,Big 12,649,396.0,231.99999999999997
2007,Kent State,Mid-American,513,188.0,317.0
2007,Kentucky,SEC,929,520.0,393.0
2007,Liberty,FBS Independents,49,19.0,28.0
2007,Louisiana,Sun Belt,602,235.0,358.0
2007,Louisiana Monroe,Sun Belt,729,288.0,432.0
2007,Louisiana Tech,Conference USA,535,269.0,260.0
2007,Louisville,ACC,782,449.00000000000006,321.0
2007,LSU,SEC,924,414.0,483.0
2007,Marshall,Conference USA,525,289.0,225.0
2007,Maryland,Big Ten,799,352.0,428.99999999999994
2007,Memphis,American Athletic,701,415.0,274.0
2007,Miami,ACC,705,288.0,404.00000000000006
2007,Miami (OH),Mid-American,592,324.0,255.0
2007,Michigan,Big Ten,843,400.0,430.0
2007,Michigan State,Big Ten,852,369.0,469.0
2007,Middle Tennessee,Conference USA,596,262.0,329.0
2007,Minnesota,Big Ten,785,405.0,373.0
2007,Mississippi State,SEC,800,341.0,450.0
2007,Missouri,SEC,974,533.0,420.0
2007,Navy,American Athletic,837,126.0,696.0
2007,NC State,ACC,785,476.0,292.0
2007,Nebraska,Big Ten,705,401.00000000000006,296.0
2007,Nevada,Mountain West,735,323.0,393.99999999999994
2007,New Mexico,Mountain West,627,305.0,305.0
2007,New Mexico State,FBS Independents,670,429.0,231.0
2007,North Carolina,ACC,634,338.0,280.0
2007,Northern Illinois,Mid-American,444,222.0,214.0
2007,North Texas,Conference USA,586,357.0,221.99999999999997
2007,Northwestern,Big Ten,820,498.0,310.0
2007,Notre Dame,FBS Independents,724,388.0,330.0
2007,Ohio,Mid-American,498,202.0,284.0
2007,Ohio State,Big Ten,744,299.0,428.00000000000006
2007,Oklahoma,Big 12,761,337.0,412.0
2007,Oklahoma State,Big 12,628,272.0,350.0
2007,Ole Miss,SEC,666,345.0,311.0
2007,Oregon,Pac-12,864,374.0,475.0
2007,Oregon State,Pac-12,747,338.0,393.0
2007,Penn State,Big Ten,824,387.0,417.00000000000006
2007,Pittsburgh,ACC,707,302.0,387.0
2007,Purdue,Big Ten,855,520.0,318.0
2007,Rice,Conference USA,333,184.0,144.0
2007,Rutgers,Big Ten,775,345.0,409.0
2007,San Diego State,Mountain West,507,291.0,209.0
2007,San José State,Mountain West,515,285.0,226.0
2007,SMU,American Athletic,539,262.0,268.0
2007,South Carolina,SEC,709,414.0,282.0
2007,Southern Mississippi,Conference USA,713,328.0,370.99999999999994
2007,South Florida,American Athletic,772,346.0,408.0
2007,Stanford,Pac-12,706,393.0,300.0
2007,Syracuse,ACC,611,347.0,253.99999999999997
2007,TCU,Big 12,758,362.0,377.0
2007,Temple,American Athletic,474,246.99999999999997,222.0
2007,Tennessee,SEC,856,457.0,378.0
2007,Texas,Big 12,863,418.0,428.0
2007,Texas A&M,SEC,786,317.0,455.0
2007,Texas State,Sun Belt,89,54.99999999999999,32.0
2007,Texas Tech,Big 12,701,551.0,137.0
2007,Toledo,Mid-American,666,310.0,344.0
2007,Troy,Sun Belt,695,377.0,307.0
2007,Tulane,American Athletic,526,226.0,290.0
2007,Tulsa,American Athletic,569,322.0,244.0
2007,UAB,Conference USA,261,148.0,107.0
2007,UCF,American Athletic,783,285.0,475.00000000000006
2007,UCLA,Pac-12,884,396.0,463.0
2007,UMass,FBS Independents,58,32.0,26.0
2007,UNLV,Mountain West,701,341.0,345.0
2007,USC,Pac-12,814,396.0,402.0
2007,Utah,Pac-12,841,381.0,445.0
2007,Utah State,Mountain West,553,220.0,322.0
2007,UTEP,Conference USA,362,207.0,145.0
2007,Vanderbilt,SEC,702,306.0,385.0
2007,Virginia,ACC,833,422.00000000000006,395.0
2007,Virginia Tech,ACC,811,364.0,426.0
2007,Wake Forest,ACC,805,350.0,439.0
2007,Washington,Pac-12,865,386.0,463.99999999999994
2007,Washington State,Pac-12,674,410.0,251.0
2007,Western Kentucky,Conference USA,514,185.0,321.0
2007,Western Michigan,Mid-American,831,425.99999999999994,391.0
2007,West Virginia,Big 12,716,242.0,461.99999999999994
2007,Wisconsin,Big Ten,837,339.0,479.00000000000006
2007,Wyoming,Mountain West,721,350.0,358.0
